Time,Float_Position,Float_Velocity,Float_Acceleration,Spar_Position,Spar_Velocity,Spar_Acceleration
81.45,-4.14088303550319,-0.3609915865996,-0.0706609051407162,-3.96449703060336,-0.0973409823049751,-0.00509926659522739
81.46,-4.144496487626,-0.36169919956201,-0.0706603695739609,-3.96547069861339,-0.097392964569151,-0.00530341146333475
81.47,-4.14811701508832,-0.362406578440064,-0.0706141365420944,-3.96644489641577,-0.0974469172475678,-0.00549345004373399
81.48,-4.15174461325891,-0.36311326460037,-0.0705219218624121,-3.96741964300704,-0.0975026985850994,-0.00566924317247029
81.49,-4.15537927290617,-0.363818796610802,-0.0703834497311015,-3.96839495595927,-0.0975601654472713,-0.00583065404830566
81.5,-4.1590209801705,-0.364522710326074,-0.0701984530707905,-3.96937085140637,-0.0976191733446349,-0.0059775483813386
81.51,-4.16266971653767,-0.365224538976785,-0.0699666738803382,-3.97034734403071,-0.097679576458635,-0.00610979454291189
81.52,-4.16632545881303,-0.365923813261983,-0.0696878635864613,-3.97132444704993,-0.0977412276689821,-0.00622726371664268
81.53,-4.16998817909662,-0.366620061445243,-0.0693617833967662,-3.97230217220409,-0.0978039785825374,-0.00632983005039773
81.54,-4.1736578447594,-0.367312809454282,-0.0689882046537584,-3.97328052974306,-0.0978676795637226,-0.00641737080903646
81.55,-4.17733441842032,-0.368001580984119,-0.0685669091894171,-3.97425952841429,-0.0979321797664583,-0.00648976652774736
81.56,-4.18101785792458,-0.368685897603779,-0.0680976896798727,-3.97523917545086,-0.097997327167639,-0.00654690116579556
81.57,-4.18470811632287,-0.369365278866537,-0.0675803499997769,-3.97621947655986,-0.0980629686021431,-0.00658866226050021
81.58,-4.18840514185184,-0.370039242423705,-0.0670147055759065,-3.9772004359112,-0.0981289497993857,-0.00661494108126071
81.59,-4.1921088779156,-0.370707304141954,-0.0664005837395692,-3.97818205612667,-0.0981951154214088,-0.00662563278344716
81.6,-4.19581926306852,-0.371368978224137,-0.0657378240773772,-3.97916433826956,-0.0982613091025077,-0.0066206365619705
81.61,-4.19953623099919,-0.372023777333625,-0.0650262787799286,-3.98014728183449,-0.0983273734903914,-0.0065998558043484
81.62,-4.20325971051567,-0.372671212722101,-0.0642658129879592,-3.98113088473783,-0.0983931502888687,-0.00656319824308021
81.63,-4.206989625532,-0.373310794360813,-0.0634563051355328,-3.98211514330844,-0.0984584803020533,-0.00651057610714588
81.64,-4.21072589505613,-0.373942031075233,-0.0625976472898134,-3.98310005227892,-0.0985232034800785,-0.00644190627244295
81.65,-4.21446843317907,-0.374564430683097,-0.0616897454869784,-3.98408560477729,-0.0985871589663081,-0.00635711041097631
81.66,-4.21821714906557,-0.375177500135782,-0.0607325200638474,-3.98507179231918,-0.0986501851460337,-0.00625611513861508
